SetID	P.value	N.Marker.All	N.Marker.Test	pval_skat.bon	SetID	P.value	N.Marker.All	N.Marker.Test	pval_skato.bon	SetID	P.value	N.Marker.All	N.Marker.Test	pval_burden.bon
ISG15	0.768066600220033	7	5	1	ISG15	0.63314509859365	7	5	1	ISG15	0.477544448459059	7	5	1
AGRN	0.78255118018006	145	92	1	AGRN	0.632874038994762	145	92	1	AGRN	0.565047343378755	145	92	1
LOC100288175	0.585551249108367	12	10	1	LOC100288175	0.182560696589232	12	10	1	LOC100288175	0.138434275029317	12	10	1
RNF223	0.797672897238133	7	7	1	RNF223	0.8642563908661	7	7	1	RNF223	0.825794992385262	7	7	1
C1orf159	0.987510909866291	140	118	1	C1orf159	0.676447948559802	140	118	1	C1orf159	0.335134154183746	140	118	1
LINC01342	0.990163880967207	22	10	1	LINC01342	1	22	10	1	LINC01342	0.866019058162664	22	10	1
TTLL10	0.999989887325231	132	130	1	TTLL10	1	132	130	1	TTLL10	0.811414967868024	132	130	1
TNFRSF18	0.999433514248425	11	11	1	TNFRSF18	0.77347457978494	11	11	1	TNFRSF18	0.881844226143089	11	11	1
TNFRSF4	0.995353876483152	11	11	1	TNFRSF4	0.464557925514472	11	11	1	TNFRSF4	0.981935025285182	11	11	1
SDF4	0.999998161545617	88	82	1	SDF4	0.91230833598321	88	82	1	SDF4	0.847209018115326	88	82	1
B3GALT6	0.947405247932361	2	1	1	B3GALT6	0.967323762745349	2	1	1	B3GALT6	0.947405247932361	2	1	1
C1QTNF12	0.994835950637937	11	10	1	C1QTNF12	1	11	10	1	C1QTNF12	0.932212078858445	11	10	1
UBE2J2	0.999994186133218	25	19	1	UBE2J2	1	25	19	1	UBE2J2	0.925632861763513	25	19	1
SCNN1D	0.999998389525373	47	39	1	SCNN1D	1	47	39	1	SCNN1D	0.860893317611874	47	39	1
ACAP3	0.998046903851858	47	43	1	ACAP3	1	47	43	1	ACAP3	0.625394398303191	47	43	1
PUSL1	0.94627446973509	4	3	1	PUSL1	1	4	3	1	PUSL1	0.776131256960347	4	3	1
INTS11	0.994140881798168	33	21	1	INTS11	1	33	21	1	INTS11	0.784164453719104	33	21	1
CPTP	0.872031872238823	12	12	1	CPTP	0.84759519029518	12	12	1	CPTP	0.607898199082865	12	12	1
TAS1R3	0.961002407668747	12	12	1	TAS1R3	0.802550285856232	12	12	1	TAS1R3	0.585079332104072	12	12	1
DVL1	0.953172503394493	39	33	1	DVL1	1	39	33	1	DVL1	0.689426685210771	39	33	1
MXRA8	0.92838302229016	12	10	1	MXRA8	0.819290727775323	12	10	1	MXRA8	0.448638094291477	12	10	1
AURKAIP1	0.954580715762498	4	4	1	AURKAIP1	1	4	4	1	AURKAIP1	0.864149605710372	4	4	1
CCNL2	0.986693584013597	17	10	1	CCNL2	1	17	10	1	CCNL2	0.788910290021712	17	10	1
MRPL20-AS1	1	7	6	1	MRPL20-AS1	1	7	6	1	MRPL20-AS1	0.871481555015265	7	6	1
MRPL20	0.885322315380829	9	7	1	MRPL20	1	9	7	1	MRPL20	0.975991755609662	9	7	1
ANKRD65	1	9	8	1	ANKRD65	1	9	8	1	ANKRD65	0.919406160549661	9	8	1
TMEM88B	1	17	8	1	TMEM88B	1	17	8	1	TMEM88B	0.983434011919165	17	8	1
LINC01770	1	21	6	1	LINC01770	1	21	6	1	LINC01770	0.908399610310423	21	6	1
VWA1	0.999781534046835	19	14	1	VWA1	1	19	14	1	VWA1	0.854100955341902	19	14	1
ATAD3C	0.999974992002658	105	78	1	ATAD3C	0.83065584036843	105	78	1	ATAD3C	0.751004168347358	105	78	1
ATAD3B	0.999905993039282	111	89	1	ATAD3B	0.800114045252787	111	89	1	ATAD3B	0.674725287838752	111	89	1
ATAD3A	0.999707230306901	102	79	1	ATAD3A	0.79198145095178	102	79	1	ATAD3A	0.889388284129287	102	79	1
TMEM240	0.926943222103758	12	12	1	TMEM240	0.852991481365169	12	12	1	TMEM240	0.674161375620475	12	12	1
SSU72	0.949407744516216	92	85	1	SSU72	1	92	85	1	SSU72	0.503013968277465	92	85	1
FNDC10	0.999577454884515	9	9	1	FNDC10	1	9	9	1	FNDC10	0.92993723817019	9	9	1
LOC105378586	0.897363200413529	37	30	1	LOC105378586	0.732562984582468	37	30	1	LOC105378586	0.554607591920842	37	30	1
MIB2	0.999872579850638	55	54	1	MIB2	0.845299794364546	55	54	1	MIB2	0.871644019119132	55	54	1
MMP23B	0.846255157874746	2	1	1	MMP23B	0.761986871271857	2	1	1	MMP23B	0.846255157874746	2	1	1
CDK11B	0.999887711649617	136	127	1	CDK11B	1	136	127	1	CDK11B	0.946333173421454	136	127	1
SLC35E2B	0.999953317735427	147	134	1	SLC35E2B	0.881044020864588	147	134	1	SLC35E2B	0.855486209660028	147	134	1
MMP23A	0.842250297656891	2	2	1	MMP23A	0.942308700607637	2	2	1	MMP23A	0.842250297656889	2	2	1
CDK11A	0.999980356428229	218	151	1	CDK11A	0.906495980574468	218	151	1	CDK11A	0.875611373187796	218	151	1
SLC35E2A	0.999997613006495	139	129	1	SLC35E2A	1	139	129	1	SLC35E2A	0.891685921228207	139	129	1
NADK	0.998273222029558	28	26	1	NADK	1	28	26	1	NADK	0.887983886222293	28	26	1
GNB1	0.999992678657943	193	175	1	GNB1	0.744281294636426	193	175	1	GNB1	0.74907611473563	193	175	1
CALML6	0.866321391330158	10	9	1	CALML6	1	10	9	1	CALML6	0.847037679976161	10	9	1
TMEM52	0.929706620080908	7	6	1	TMEM52	0.623067254613092	7	6	1	TMEM52	0.893042332352621	7	6	1
CFAP74	0.999991233007203	470	405	1	CFAP74	1	470	405	1	CFAP74	0.702408726685212	470	405	1
GABRD	0.999993984998145	38	38	1	GABRD	0.874671405682929	38	38	1	GABRD	0.996133037806081	38	38	1
LOC105378591	0.718687586315064	1	1	1	LOC105378591	0.783864650967621	1	1	1	LOC105378591	0.718687586315064	1	1	1
PRKCZ	0.999803905225814	608	557	1	PRKCZ	0.415044051351686	608	557	1	PRKCZ	0.43913718289719	608	557	1
FAAP20	0.643244898644023	17	14	1	FAAP20	0.823473863717661	17	14	1	FAAP20	0.943514127327144	17	14	1
SKI	0.999499660850519	284	265	1	SKI	0.843774646451995	284	265	1	SKI	0.617382278186426	284	265	1
MORN1	0.998728642770731	291	278	1	MORN1	1	291	278	1	MORN1	0.897480819478494	291	278	1
RER1	0.963844404303054	39	38	1	RER1	0.772652264664902	39	38	1	RER1	0.421848811117429	39	38	1
PEX10	0.929083966755505	23	23	1	PEX10	0.653328626802122	23	23	1	PEX10	0.533072706908676	23	23	1
PLCH2	0.572869144858581	84	79	1	PLCH2	0.0431580895387204	84	79	1	PLCH2	0.0172897979419589	84	79	1
PANK4	0.978325235769312	44	43	1	PANK4	0.145351471777508	44	43	1	PANK4	0.190685233977173	44	43	1
TNFRSF14-AS1	0.999459313743425	22	22	1	TNFRSF14-AS1	0.723058466197479	22	22	1	TNFRSF14-AS1	0.986099199946634	22	22	1
TNFRSF14	0.998389841351267	17	16	1	TNFRSF14	1	17	16	1	TNFRSF14	0.855711709718405	17	16	1
LOC100996583	0.999955475177454	51	49	1	LOC100996583	1	51	49	1	LOC100996583	0.995502123998051	51	49	1
PRXL2B	0.647687138105602	10	8	1	PRXL2B	0.371415671789272	10	8	1	PRXL2B	0.313750705032005	10	8	1
MMEL1	0.999907805220394	125	117	1	MMEL1	1	125	117	1	MMEL1	0.694560727198359	125	117	1
TTC34	0.999752730388103	2067	1430	1	TTC34	0.655891748468239	2067	1430	1	TTC34	0.316725882014724	2067	1430	1
ACTRT2	1	5	5	1	ACTRT2	1	5	5	1	ACTRT2	0.872319354553846	5	5	1
PRDM16-DT	0.972072929440252	16	15	1	PRDM16-DT	1	16	15	1	PRDM16-DT	0.629477870559562	16	15	1
PRDM16	0.991910823003113	1547	1357	1	PRDM16	0.446171579636396	1547	1357	1	PRDM16	0.310301648802871	1547	1357	1
ARHGEF16	0.997060088656124	76	63	1	ARHGEF16	1	76	63	1	ARHGEF16	0.976088010681564	76	63	1
MEGF6	0.999857369990648	590	531	1	MEGF6	0.83698742630252	590	531	1	MEGF6	0.710132157197181	590	531	1
TPRG1L	1	11	11	1	TPRG1L	1	11	11	1	TPRG1L	0.947265975562091	11	11	1
WRAP73	0.683991597332621	38	28	1	WRAP73	0.84822315666895	38	28	1	WRAP73	0.575622121401295	38	28	1
TP73	0.999920212540149	345	322	1	TP73	1	345	322	1	TP73	0.977514196915795	345	322	1
TP73-AS1	0.996876984711678	39	27	1	TP73-AS1	0.898634478562291	39	27	1	TP73-AS1	0.838498283915308	39	27	1
CCDC27	0.94139484896607	57	48	1	CCDC27	0.449174887263438	57	48	1	CCDC27	0.449996355205849	57	48	1
SMIM1	0.996245505290398	13	12	1	SMIM1	1	13	12	1	SMIM1	0.983843830163374	13	12	1
LRRC47	0.969403624026309	86	80	1	LRRC47	1	86	80	1	LRRC47	0.720844494738988	86	80	1
CEP104	0.724773772508388	265	250	1	CEP104	0.612065312203973	265	250	1	CEP104	0.525292200584079	265	250	1
DFFB	0.991755449397012	169	152	1	DFFB	0.853994969288536	169	152	1	DFFB	0.610790290059458	169	152	1
C1orf174	0.525332165480851	50	37	1	C1orf174	0.532789071335597	50	37	1	C1orf174	0.415101917381657	50	37	1
LINC01134	0.922879071176544	62	56	1	LINC01134	0.749195148099763	62	56	1	LINC01134	0.660668553594178	62	56	1
LINC01346	0.977722823586768	90	86	1	LINC01346	1	90	86	1	LINC01346	0.945121603131218	90	86	1
LINC01777	0.947937110350191	53	52	1	LINC01777	1	53	52	1	LINC01777	0.700971727410542	53	52	1
LINC01646	0.942979392601835	51	36	1	LINC01646	1	51	36	1	LINC01646	0.95292644941568	51	36	1
AJAP1	0.979776182586992	600	504	1	AJAP1	0.617832938173055	600	504	1	AJAP1	0.415285728762213	600	504	1
NPHP4	0.987193090628581	361	336	1	NPHP4	1	361	336	1	NPHP4	0.725669535645329	361	336	1
KCNAB2	0.999931235355951	298	214	1	KCNAB2	1	298	214	1	KCNAB2	0.996095580119987	298	214	1
CHD5	0.847374578787759	292	269	1	CHD5	0.703763841021452	292	269	1	CHD5	0.610488341974459	292	269	1
RPL22	0.99984042180332	43	43	1	RPL22	1	43	43	1	RPL22	0.877648697568903	43	43	1
LOC102724450	0.880518784711729	1	1	1	LOC102724450	0.396665410713387	1	1	1	LOC102724450	0.880518784711729	1	1	1
RNF207	0.999597937710662	21	21	1	RNF207	1	21	21	1	RNF207	0.771118684145098	21	21	1
ICMT	0.999574012620266	34	33	1	ICMT	1	34	33	1	ICMT	0.722300013138821	34	33	1
LINC00337	0.882280131389227	5	5	1	LINC00337	0.859925699089212	5	5	1	LINC00337	0.583667706237779	5	5	1
HES3	0.846254928216589	4	4	1	HES3	0.762232165014844	4	4	1	HES3	0.846694450446609	4	4	1
GPR153	0.992829916788726	44	43	1	GPR153	1	44	43	1	GPR153	0.809461447062485	44	43	1
ACOT7	0.995491703136879	310	296	1	ACOT7	1	310	296	1	ACOT7	0.731861819538824	310	296	1
HES2	1	9	8	1	HES2	1	9	8	1	HES2	0.799945537831426	9	8	1
ESPN	0.980199448368566	79	76	1	ESPN	0.843511065224248	79	76	1	ESPN	0.736871170334763	79	76	1
TNFRSF25	0.993222755228062	7	5	1	TNFRSF25	1	7	5	1	TNFRSF25	0.827270481305117	7	5	1
PLEKHG5	0.99764203672895	18	18	1	PLEKHG5	1	18	18	1	PLEKHG5	0.803574522028635	18	18	1
NOL9	0.999224579575483	171	139	1	NOL9	0.884811104161027	171	139	1	NOL9	0.582280916302871	171	139	1
TAS1R1	0.999746846174151	85	66	1	TAS1R1	1	85	66	1	TAS1R1	0.6251848348793	85	66	1
ZBTB48	0.97834510528805	11	11	1	ZBTB48	1	11	11	1	ZBTB48	0.742155848385467	11	11	1
KLHL21	0.993793874509732	29	29	1	KLHL21	1	29	29	1	KLHL21	0.818617803023221	29	29	1
PHF13	0.994770352172512	24	23	1	PHF13	0.818996033925089	24	23	1	PHF13	0.722825279779806	24	23	1
THAP3	0.957895387426956	16	16	1	THAP3	0.895681561193149	16	16	1	THAP3	0.944452806946081	16	16	1
DNAJC11	0.999803417451466	128	121	1	DNAJC11	1	128	121	1	DNAJC11	0.696690435438501	128	121	1
LINC01672	0.67693080893778	16	16	1	LINC01672	0.858725747459936	16	16	1	LINC01672	0.880747395122397	16	16	1
CAMTA1-DT	0.163392889833027	1	1	1	CAMTA1-DT	0.129132710133095	1	1	1	CAMTA1-DT	0.163392889833027	1	1	1
CAMTA1	0.999910845698731	204	188	1	CAMTA1	1	204	188	1	CAMTA1	0.767621772624714	204	188	1
CAMTA1-AS2	0.983322134061089	25	20	1	CAMTA1-AS2	0.694445535939921	25	20	1	CAMTA1-AS2	0.618087481680978	25	20	1
VAMP3	0.657026229358229	30	23	1	VAMP3	0.743454150252752	30	23	1	VAMP3	0.393847427032872	30	23	1
PER3	0.992852970729206	234	204	1	PER3	0.590008917966361	234	204	1	PER3	0.210404471248964	234	204	1
UTS2	0.989676177646921	21	19	1	UTS2	0.789530130783129	21	19	1	UTS2	0.723758493050722	21	19	1
TNFRSF9	0.999996713941429	68	61	1	TNFRSF9	1	68	61	1	TNFRSF9	0.950730999225495	68	61	1
PARK7	0.999942860792322	62	47	1	PARK7	1	62	47	1	PARK7	0.921328475134029	62	47	1
ERRFI1	0.999786350036067	27	22	1	ERRFI1	1	27	22	1	ERRFI1	0.943191250164008	27	22	1
LINC01714	1	14	14	1	LINC01714	1	14	14	1	LINC01714	0.913502911334194	14	14	1
SLC45A1	0.931672154091662	107	89	1	SLC45A1	0.259491136104456	107	89	1	SLC45A1	0.134823661451041	107	89	1
RERE	0.999788827002331	132	118	1	RERE	1	132	118	1	RERE	0.898914095223649	132	118	1
RERE-AS1	0.995521452642386	17	17	1	RERE-AS1	1	17	17	1	RERE-AS1	0.786039485391294	17	17	1
ENO1	0.903537973562905	30	28	1	ENO1	0.287969408740017	30	28	1	ENO1	0.153900741622722	30	28	1
ENO1-AS1	0.729957981000614	3	3	1	ENO1-AS1	0.796434399146483	3	3	1	ENO1-AS1	0.758863460884449	3	3	1
CA6	0.999062846941478	102	98	1	CA6	0.835794213511558	102	98	1	CA6	0.915472088712501	102	98	1
SLC2A7	0.999996011579649	87	84	1	SLC2A7	1	87	84	1	SLC2A7	0.981568255841374	87	84	1
SLC2A5	0.999077912640989	164	155	1	SLC2A5	1	164	155	1	SLC2A5	0.726202335521742	164	155	1
GPR157	0.13045493369173	94	80	1	GPR157	0.100772180606423	94	80	1	GPR157	0.0326543778831213	94	80	1
MIR34AHG	0.999997783560822	85	78	1	MIR34AHG	0.744626815651913	85	78	1	MIR34AHG	0.86284454761509	85	78	1
LNCTAM34A	0.992829787370863	24	23	1	LNCTAM34A	1	24	23	1	LNCTAM34A	0.918232389398168	24	23	1
H6PD	0.999352590218232	96	95	1	H6PD	1	96	95	1	H6PD	0.825327802707718	96	95	1
SPSB1	0.578287500605065	293	265	1	SPSB1	0.0994352493896205	293	265	1	SPSB1	0.0625378950789745	293	265	1
LINC02606	0.876511489957761	18	16	1	LINC02606	0.814119172156495	18	16	1	LINC02606	0.476005587851915	18	16	1
SLC25A33	0.999971758401229	67	62	1	SLC25A33	0.814179342851637	67	62	1	SLC25A33	0.874174716250707	67	62	1
TMEM201	0.990312600171192	28	28	1	TMEM201	1	28	28	1	TMEM201	0.99755519231187	28	28	1
PIK3CD	0.98513810142611	227	213	1	PIK3CD	0.882959958185197	227	213	1	PIK3CD	0.863505663406466	227	213	1
CLSTN1	0.999674326831878	303	280	1	CLSTN1	1	303	280	1	CLSTN1	0.734408463285832	303	280	1
CTNNBIP1	0.999725991048914	89	74	1	CTNNBIP1	0.870575778897675	89	74	1	CTNNBIP1	0.719421716338706	89	74	1
LZIC	0.999970073465245	38	33	1	LZIC	1	38	33	1	LZIC	0.982059601280848	38	33	1
NMNAT1	0.99998260982537	114	96	1	NMNAT1	1	114	96	1	NMNAT1	0.652768765374156	114	96	1
RBP7	0.999949447046237	30	28	1	RBP7	1	30	28	1	RBP7	0.78314900496592	30	28	1
UBE4B	0.99997619165355	215	203	1	UBE4B	1	215	203	1	UBE4B	0.841302896915988	215	203	1
KIF1B	0.999999407115753	225	214	1	KIF1B	1	225	214	1	KIF1B	0.866148242104642	225	214	1
PGD	0.999960810185216	56	54	1	PGD	1	56	54	1	PGD	0.868550130646774	56	54	1
CENPS	0.99998808696232	48	48	1	CENPS	1	48	48	1	CENPS	0.931435680584759	48	48	1
CENPS-CORT	0.999381938619578	24	22	1	CENPS-CORT	1	24	22	1	CENPS-CORT	0.749357666932967	24	22	1
DFFA	0.99946791662545	39	28	1	DFFA	1	39	28	1	DFFA	0.995121283036993	39	28	1
PEX14	0.988612061479147	467	390	1	PEX14	0.496928033072673	467	390	1	PEX14	0.211745288484913	467	390	1
CASZ1	0.999568018412114	506	437	1	CASZ1	0.918894004607953	506	437	1	CASZ1	0.480466823389789	506	437	1
C1orf127	0.98972534293478	55	53	1	C1orf127	1	55	53	1	C1orf127	0.66987019093708	55	53	1
TARDBP	0.999780831899256	27	27	1	TARDBP	0.59169137778466	27	27	1	TARDBP	0.693476360844385	27	27	1
MASP2	0.993299203680985	73	67	1	MASP2	0.553346527685073	73	67	1	MASP2	0.550164820214261	73	67	1
SRM	0.99589276567719	15	12	1	SRM	0.79504006887072	15	12	1	SRM	0.997895546473717	15	12	1
EXOSC10	0.999530507099952	125	124	1	EXOSC10	0.796997919514383	125	124	1	EXOSC10	0.90357647871558	125	124	1
EXOSC10-AS1	0.942717086479854	6	6	1	EXOSC10-AS1	1	6	6	1	EXOSC10-AS1	0.649417045604699	6	6	1
MTOR	0.99998431616882	499	473	1	MTOR	0.820400023868198	499	473	1	MTOR	0.936946422112934	499	473	1
UBIAD1	0.989466956838105	22	21	1	UBIAD1	1	22	21	1	UBIAD1	0.642948117341256	22	21	1
DISP3	0.999827113957928	195	168	1	DISP3	1	195	168	1	DISP3	0.756381078201337	195	168	1
LINC01647	0.997241685092577	22	21	1	LINC01647	1	22	21	1	LINC01647	0.905443847444314	22	21	1
FBXO2	0.998243055635931	19	18	1	FBXO2	1	19	18	1	FBXO2	0.860572872172048	19	18	1
FBXO44	0.999094461300855	20	17	1	FBXO44	1	20	17	1	FBXO44	0.964101038487726	20	17	1
FBXO6	0.99978920179818	32	31	1	FBXO6	1	32	31	1	FBXO6	0.966599711813802	32	31	1
MAD2L2	0.997855657929055	26	25	1	MAD2L2	1	26	25	1	MAD2L2	0.843918565849219	26	25	1
DRAXIN	0.999958765618229	119	110	1	DRAXIN	1	119	110	1	DRAXIN	0.81664495722501	119	110	1
AGTRAP	0.999114379490582	53	45	1	AGTRAP	1	53	45	1	AGTRAP	0.803599752478179	53	45	1
C1orf167	0.0462735547890697	173	136	1	C1orf167	0.0388893757943961	173	136	1	C1orf167	0.0546098248899401	173	136	1
MTHFR	0.0892781735417394	75	47	1	MTHFR	0.0416303733142389	75	47	1	MTHFR	0.209504424097687	75	47	1
CLCN6	0.316208027319808	189	123	1	CLCN6	0.397672245649349	189	123	1	CLCN6	0.335616155318785	189	123	1
NPPA-AS1	0.140027729874969	22	6	1	NPPA-AS1	0.180765734937299	22	6	1	NPPA-AS1	0.187182513525741	22	6	1
RNU5E-1	0.999735894359935	8	8	1	RNU5E-1	1	8	8	1	RNU5E-1	0.851525303501845	8	8	1
KIAA2013	0.995460061185264	18	18	1	KIAA2013	1	18	18	1	KIAA2013	0.832349554006874	18	18	1
PLOD1	0.999982240404203	131	128	1	PLOD1	1	131	128	1	PLOD1	0.88934824439907	131	128	1
MFN2	0.999991039101197	100	95	1	MFN2	1	100	95	1	MFN2	0.911175789546799	100	95	1
MIIP	0.9991442909302	24	23	1	MIIP	1	24	23	1	MIIP	0.896690376248471	24	23	1
TNFRSF8	0.999989229563166	196	191	1	TNFRSF8	1	196	191	1	TNFRSF8	0.90336714625406	196	191	1
TNFRSF1B	0.990255789309742	115	113	1	TNFRSF1B	0.803087448450164	115	113	1	TNFRSF1B	0.71120166982636	115	113	1
VPS13D	0.999193884171507	286	261	1	VPS13D	0.849594085505069	286	261	1	VPS13D	0.844364322924217	286	261	1
DHRS3	0.999999891759582	119	101	1	DHRS3	1	119	101	1	DHRS3	0.941404926833856	119	101	1
AADACL4	0.614453295844446	29	27	1	AADACL4	0.582274175020667	29	27	1	AADACL4	0.412400371771204	29	27	1
AADACL3	0.96626232706239	50	48	1	AADACL3	0.564077228627516	50	48	1	AADACL3	0.394772646852509	50	48	1
C1orf158	0.979487434732072	39	37	1	C1orf158	1	39	37	1	C1orf158	0.74802681141303	39	37	1
PRAMEF12	1	30	30	1	PRAMEF12	1	30	30	1	PRAMEF12	0.818020417186785	30	30	1
PRAMEF1	0.918949011522299	180	157	1	PRAMEF1	1	180	157	1	PRAMEF1	0.692582351850317	180	157	1
LINC01784	0.89020648399659	11	11	1	LINC01784	1	11	11	1	LINC01784	0.887559058352556	11	11	1
PRAMEF11	0.717651506083755	271	188	1	PRAMEF11	0.772520087785223	271	188	1	PRAMEF11	0.432184842233452	271	188	1
HNRNPCL1	0.960230789774494	74	28	1	HNRNPCL1	1	74	28	1	HNRNPCL1	0.72109951257834	74	28	1
PRAMEF2	0.993123835090621	177	152	1	PRAMEF2	0.840799462575182	177	152	1	PRAMEF2	0.85528257962681	177	152	1
PRAMEF4	0.997842651323998	299	229	1	PRAMEF4	1	299	229	1	PRAMEF4	0.647799826297314	299	229	1
PRAMEF10	0.965677907891652	18	10	1	PRAMEF10	0.791513076475796	18	10	1	PRAMEF10	0.743662737249858	18	10	1
PRAMEF7	0.996903235017002	12	12	1	PRAMEF7	0.869683043839568	12	12	1	PRAMEF7	0.892257640958022	12	12	1
PRAMEF6	0.95511338544313	145	61	1	PRAMEF6	0.90174481282019	145	61	1	PRAMEF6	0.443951035083404	145	61	1
PRAMEF18	0.327977257831356	24	13	1	PRAMEF18	0.465786631349278	24	13	1	PRAMEF18	0.311033463696342	24	13	1
PRAMEF34P	1	27	4	1	PRAMEF34P	1	27	4	1	PRAMEF34P	0.911694420524774	27	4	1
HNRNPCL2	0.992488109953235	63	38	1	HNRNPCL2	1	63	38	1	HNRNPCL2	0.979274028919715	63	38	1
PRAMEF36P	1	9	8	1	PRAMEF36P	0.712621467953306	9	8	1	PRAMEF36P	0.90944661036579	9	8	1
PRAMEF25	0.990763735091726	62	43	1	PRAMEF25	0.778041657111062	62	43	1	PRAMEF25	0.673064163813826	62	43	1
PRAMEF5	0.906115953942779	134	32	1	PRAMEF5	0.846286802845597	134	32	1	PRAMEF5	0.784614755975194	134	32	1
PRAMEF33	0.994832794906944	30	25	1	PRAMEF33	0.75455643288491	30	25	1	PRAMEF33	0.865409346784824	30	25	1
PRAMEF13	0.590688434656163	31	14	1	PRAMEF13	0.764661372847015	31	14	1	PRAMEF13	0.567579256436931	31	14	1
PRAMEF15	0.987564960522062	31	14	1	PRAMEF15	0.858000610655276	31	14	1	PRAMEF15	0.923650088160816	31	14	1
PRAMEF14	1	1	0	1	PRAMEF14	1	1	0	1	PRAMEF14	1	1	0	1
PRAMEF19	0.96604789832838	18	1	1	PRAMEF19	0.490064144717159	18	1	1	PRAMEF19	0.96604789832838	18	1	1
PRAMEF17	1	17	11	1	PRAMEF17	1	17	11	1	PRAMEF17	0.953553227281906	17	11	1
PRAMEF20	0.76430204299961	18	15	1	PRAMEF20	0.580309984066159	18	15	1	PRAMEF20	0.774638203401569	18	15	1
LRRC38	0.999938337025133	181	168	1	LRRC38	0.922640284909978	181	168	1	LRRC38	0.448555692630673	181	168	1
PDPN	0.999803848466194	122	114	1	PDPN	0.753204425088711	122	114	1	PDPN	0.784017332185701	122	114	1
PRDM2	0.950134915474369	264	231	1	PRDM2	0.627505310350163	264	231	1	PRDM2	0.313680963152585	264	231	1
KAZN-AS1	0.999990873450312	305	284	1	KAZN-AS1	0.584658361443085	305	284	1	KAZN-AS1	0.470432266806823	305	284	1
KAZN	0.945712202759972	1645	1567	1	KAZN	0.318595426436591	1645	1567	1	KAZN	0.116436289917385	1645	1567	1
TMEM51-AS1	0.796006311795315	170	150	1	TMEM51-AS1	0.0468882681315114	170	150	1	TMEM51-AS1	0.024513414868516	170	150	1
TMEM51	0.766332078689658	344	320	1	TMEM51	0.685660476164827	344	320	1	TMEM51	0.651225508606502	344	320	1
FHAD1	0.452669495696855	491	418	1	FHAD1	0.657117232546654	491	418	1	FHAD1	0.60106824195309	491	418	1
EFHD2	0.999996000247608	48	40	1	EFHD2	1	48	40	1	EFHD2	0.895866221167337	48	40	1
CTRC	0.858127263358844	18	17	1	CTRC	0.85259467057525	18	17	1	CTRC	0.596416249274185	18	17	1
CELA2A	0.999755952531257	54	51	1	CELA2A	0.837619772760238	54	51	1	CELA2A	0.881638384856964	54	51	1
CELA2B	0.999930156582908	69	67	1	CELA2B	1	69	67	1	CELA2B	0.968975396121872	69	67	1
CASP9	0.999999107129518	133	133	1	CASP9	1	133	133	1	CASP9	0.937355741026081	133	133	1
DNAJC16	0.999998344504573	100	96	1	DNAJC16	1	100	96	1	DNAJC16	0.948825600329464	100	96	1
AGMAT	0.999631940443465	49	49	1	AGMAT	1	49	49	1	AGMAT	0.899947277620527	49	49	1
